filepath,country,year,survey,filename,HIV_pos,HIV_neg,Prevalence,include
D:\EricChow\DHS_live\Timor-Leste\Standard DHS 2009-10\tl61_flattened.dta,Timor-Leste,2009,Standard DHS 2009-10,tl61_flattened.dta,,,,
D:\EricChow\DHS_live\Togo\Standard DHS 1988\tg01_flattened.dta,Togo,1988,Standard DHS 1988,tg01_flattened.dta,,,,
D:\EricChow\DHS_live\Togo\Standard DHS 2013-14\tg61_flattened.dta,Togo,2013,Standard DHS 2013-14,tg61_flattened.dta,200,9121,0.021456925,1
D:\EricChow\DHS_live\Trinidad and Tobago\Standard DHS 1987\tt01_flattened.dta,Trinidad and Tobago,1987,Standard DHS 1987,tt01_flattened.dta,,,,
D:\EricChow\DHS_live\Tunisia\Standard DHS 1988\tn02_flattened.dta,Tunisia,1988,Standard DHS 1988,tn02_flattened.dta,,,,
D:\EricChow\DHS_live\Turkey\Standard DHS 1993\tr31_flattened.dta,Turkey,1993,Standard DHS 1993,tr31_flattened.dta,,,,
D:\EricChow\DHS_live\Turkey\Standard DHS 1998\tr41_flattened.dta,Turkey,1998,Standard DHS 1998,tr41_flattened.dta,,,,
D:\EricChow\DHS_live\Turkey\Standard DHS 2003\tr4a_flattened.dta,Turkey,2003,Standard DHS 2003,tr4a_flattened.dta,,,,
D:\EricChow\DHS_live\Uganda\MIS 2009\ug5h_flattened.dta,Uganda,2009,MIS 2009,ug5h_flattened.dta,,,,
D:\EricChow\DHS_live\Uganda\MIS 2014-15\ug72_flattened.dta,Uganda,2014,MIS 2014-15,ug72_flattened.dta,,,,
D:\EricChow\DHS_live\Uganda\Standard AIS 2011\ug6a_flattened.dta,Uganda,2011,Standard AIS 2011,ug6a_flattened.dta,1592,30052,0.050309695,1
D:\EricChow\DHS_live\Uganda\Standard DHS 1988-89\ug01_flattened.dta,Uganda,1988,Standard DHS 1988-89,ug01_flattened.dta,,,,
D:\EricChow\DHS_live\Uganda\Standard DHS 1995\ug33_flattened.dta,Uganda,1995,Standard DHS 1995,ug33_flattened.dta,,,,
D:\EricChow\DHS_live\Uganda\Standard DHS 2000-01\ug41_flattened.dta,Uganda,2000,Standard DHS 2000-01,ug41_flattened.dta,,,,
D:\EricChow\DHS_live\Uganda\Standard DHS 2006\ug52_flattened.dta,Uganda,2006,Standard DHS 2006,ug52_flattened.dta,,,,
D:\EricChow\DHS_live\Uganda\Standard DHS 2011\ug60_flattened.dta,Uganda,2011,Standard DHS 2011,ug60_flattened.dta,,,,
D:\EricChow\DHS_live\Ukraine\Standard DHS 2007\ua51_flattened.dta,Ukraine,2007,Standard DHS 2007,ua51_flattened.dta,,,,
D:\EricChow\DHS_live\Uzbekistan\Standard DHS 1996\uz31_flattened.dta,Uzbekistan,1996,Standard DHS 1996,uz31_flattened.dta,,,,
D:\EricChow\DHS_live\Vietnam\Standard AIS 2005\vn51_flattened.dta,Vietnam,2005,Standard AIS 2005,vn51_flattened.dta,9,1666,0.005373134,1
D:\EricChow\DHS_live\Vietnam\Standard DHS 1997\vn31_flattened.dta,Vietnam,1997,Standard DHS 1997,vn31_flattened.dta,,,,
D:\EricChow\DHS_live\Vietnam\Standard DHS 2002\vn41_flattened.dta,Vietnam,2002,Standard DHS 2002,vn41_flattened.dta,,,,
D:\EricChow\DHS_live\Zambia\Standard DHS 1992\zm21_flattened.dta,Zambia,1992,Standard DHS 1992,zm21_flattened.dta,,,,
D:\EricChow\DHS_live\Zambia\Standard DHS 1996\zm31_flattened.dta,Zambia,1996,Standard DHS 1996,zm31_flattened.dta,,,,
D:\EricChow\DHS_live\Zambia\Standard DHS 2001-02\zm42_flattened.dta,Zambia,2001,Standard DHS 2001-02,zm42_flattened.dta,,,,
D:\EricChow\DHS_live\Zambia\Standard DHS 2007\zm51_flattened.dta,Zambia,2007,Standard DHS 2007,zm51_flattened.dta,1627,9509,0.14610273,1
D:\EricChow\DHS_live\Zambia\Standard DHS 2013-14\zm63_flattened.dta,Zambia,2013,Standard DHS 2013-14,zm63_flattened.dta,4007,25678,0.134983999,1
D:\EricChow\DHS_live\Zimbabwe\Standard DHS 1988\zw01_flattened.dta,Zimbabwe,1988,Standard DHS 1988,zw01_flattened.dta,,,,
D:\EricChow\DHS_live\Zimbabwe\Standard DHS 1994\zw31_flattened.dta,Zimbabwe,1994,Standard DHS 1994,zw31_flattened.dta,,,,
D:\EricChow\DHS_live\Zimbabwe\Standard DHS 1999\zw42_flattened.dta,Zimbabwe,1999,Standard DHS 1999,zw42_flattened.dta,,,,
D:\EricChow\DHS_live\Zimbabwe\Standard DHS 2005-06\zw51_flattened.dta,Zimbabwe,2005,Standard DHS 2005-06,zw51_flattened.dta,2335,10714,0.178940915,1
D:\EricChow\DHS_live\Zimbabwe\Standard DHS 2010-11\zw61_flattened.dta,Zimbabwe,2010,Standard DHS 2010-11,zw61_flattened.dta,2351,11961,0.164267747,1
D:\EricChow\DHS_live\Zimbabwe\Standard DHS 2015\zw71_flattened.dta,Zimbabwe,2015,Standard DHS 2015,zw71_flattened.dta,2783,29329,0.086665421,1
